ticker,date,acquirer,relation,direction,value_lakhs
PIDILITIND,2022-01-27,Entity_603,Promoter,Sell,9290.45
ICICIBANK,2022-01-28,Entity_901,Promoter,Sell,59.88
MARUTI,2022-01-28,Entity_958,Director,Sell,1405.28
TVSMOTOR,2022-01-28,Entity_370,Institutional,Sell,9743.78
TVSMOTOR,2022-01-29,Entity_932,DII,Buy,1182.3
SUNPHARMA,2022-01-29,Entity_213,Institutional,Buy,26.57
ITC,2022-02-01,Entity_409,Promoter,Sell,742.34
WIPRO,2022-02-01,Entity_255,Director,Sell,426.56
PERSISTENT,2022-02-01,Entity_755,DII,Sell,27748.87
PIDILITIND,2022-02-02,Entity_113,Director,Buy,424.64
AXISBANK,2022-02-02,Entity_996,Institutional,Sell,4643.55
DABUR,2022-02-02,Entity_773,KMP,Sell,20832.23
DABUR,2022-02-03,Entity_581,Director,Sell,812.9
BAJFINANCE,2022-02-04,Entity_583,Promoter,Sell,576.34
TCS,2022-02-04,Entity_436,FII,Sell,60321.78
PIDILITIND,2022-02-04,Entity_562,DII,Sell,47.18
SBILIFE,2022-02-05,Entity_851,Promoter,Sell,589.96
M&M,2022-02-05,Entity_861,Promoter,Sell,2396.96
MPHASIS,2022-02-05,Entity_671,Promoter,Sell,248.34
ONGC,2022-02-06,Entity_390,Promoter,Buy,10573.81
INFY,2022-02-07,Entity_789,Promoter,Sell,85.54
WIPRO,2022-02-07,Entity_176,DII,Sell,49.0
ITC,2022-02-07,Entity_284,Promoter,Sell,225.07
ASIANPAINT,2022-02-08,Entity_484,Promoter,Buy,989.56
BANDHANBNK,2022-02-08,Entity_548,Director,Sell,4281.82
CIPLA,2022-02-09,Entity_590,Institutional,Buy,1038.86
EICHERMOT,2022-02-10,Entity_452,Promoter,Sell,157.46
RELIANCE,2022-02-11,Entity_922,Institutional,Buy,67.95
HCLTECH,2022-02-12,Entity_133,Promoter,Buy,3279.27
TVSMOTOR,2022-02-13,Entity_569,FII,Buy,552.87
KOTAKBANK,2022-02-14,Entity_101,Director,Sell,307.89
DABUR,2022-02-15,Entity_930,Promoter,Sell,558.23
LUPIN,2022-02-15,Entity_739,Promoter,Sell,154.79
HDFCLIFE,2022-02-16,Entity_133,Promoter,Sell,161.31
COFORGE,2022-02-17,Entity_461,Promoter,Sell,574.33
HCLTECH,2022-02-17,Entity_761,KMP,Buy,2740.17
BIOCON,2022-02-18,Entity_849,Director,Sell,621.96
LUPIN,2022-02-19,Entity_441,KMP,Buy,3.28
MARICO,2022-02-20,Entity_118,Promoter,Sell,1048.66
PIDILITIND,2022-02-20,Entity_338,Institutional,Sell,45.13
TVSMOTOR,2022-02-20,Entity_417,Director,Sell,2301.35
MPHASIS,2022-02-21,Entity_816,Promoter,Sell,2872.06
COALINDIA,2022-02-21,Entity_208,Promoter,Buy,3848.41
AXISBANK,2022-02-22,Entity_499,Director,Buy,89.05
TATAPOWER,2022-02-23,Entity_898,Promoter,Buy,266.18
TVSMOTOR,2022-02-23,Entity_272,Institutional,Sell,159.44
HDFCLIFE,2022-02-23,Entity_279,Director,Sell,14.09
BAJAJFINSV,2022-02-24,Entity_435,DII,Sell,2441.86
ICICIBANK,2022-02-24,Entity_158,Promoter,Buy,250.78
INDUSINDBK,2022-02-24,Entity_128,Promoter,Buy,677.6
BHEL,2022-02-25,Entity_207,Director,Buy,2826.07
HINDUNILVR,2022-02-26,Entity_906,DII,Sell,213.1
CHOLAFIN,2022-02-26,Entity_767,Promoter,Sell,7213.36
FEDERALBNK,2022-03-01,Entity_392,Promoter,Sell,302.48
BIOCON,2022-03-01,Entity_992,DII,Sell,2890.31
DABUR,2022-03-01,Entity_372,Director,Sell,88.21
WIPRO,2022-03-02,Entity_422,Director,Buy,1797.13
LTIM,2022-03-02,Entity_972,DII,Sell,3615.37
DABUR,2022-03-02,Entity_708,Promoter,Sell,44453.83
HCLTECH,2022-03-03,Entity_492,DII,Sell,1984.85
MARUTI,2022-03-03,Entity_609,KMP,Sell,31.34
ITC,2022-03-03,Entity_309,DII,Buy,7575.12
TATAMOTORS,2022-03-04,Entity_404,Institutional,Sell,7593.16
BAJAJ-AUTO,2022-03-04,Entity_799,KMP,Sell,684.44
CIPLA,2022-03-04,Entity_684,DII,Buy,4238.69
ASIANPAINT,2022-03-05,Entity_349,Promoter,Buy,32.83
HDFCBANK,2022-03-05,Entity_162,Promoter,Sell,9254.5
PERSISTENT,2022-03-06,Entity_973,Promoter,Sell,222.6
TATAPOWER,2022-03-06,Entity_711,Promoter,Sell,21.21
HDFCLIFE,2022-03-07,Entity_876,Promoter,Sell,947.61
LT,2022-03-07,Entity_994,KMP,Buy,68400.21
BAJAJFINSV,2022-03-08,Entity_144,Promoter,Buy,238.97
TECHM,2022-03-08,Entity_922,Director,Sell,3811.3
TECHM,2022-03-08,Entity_195,Promoter,Sell,2220.8
BHEL,2022-03-09,Entity_372,Promoter,Buy,383.82
HINDUNILVR,2022-03-09,Entity_183,Promoter,Sell,5536.51
SBIN,2022-03-09,Entity_593,Institutional,Sell,490.88
CIPLA,2022-03-10,Entity_929,Promoter,Sell,918.24
HDFCBANK,2022-03-10,Entity_827,DII,Buy,267.89
ADANIPORTS,2022-03-11,Entity_265,Promoter,Sell,2263.15
BIOCON,2022-03-11,Entity_605,Promoter,Sell,138.9
WIPRO,2022-03-12,Entity_566,Promoter,Buy,3439.38
KOTAKBANK,2022-03-12,Entity_922,Promoter,Sell,698.12
COALINDIA,2022-03-12,Entity_952,Promoter,Buy,771.01
BAJAJFINSV,2022-03-13,Entity_591,KMP,Sell,47.63
M&M,2022-03-14,Entity_759,Promoter,Sell,43.81
SHREECEM,2022-03-15,Entity_535,Promoter,Sell,4532.37
BIOCON,2022-03-15,Entity_706,FII,Sell,397.85
HINDUNILVR,2022-03-15,Entity_254,Promoter,Sell,2155.18
HCLTECH,2022-03-16,Entity_445,Director,Sell,63070.38
HEROMOTOCO,2022-03-16,Entity_639,Promoter,Sell,6.15
PERSISTENT,2022-03-17,Entity_265,Promoter,Sell,10.19
LT,2022-03-18,Entity_741,Promoter,Buy,909.23
TATAMOTORS,2022-03-19,Entity_165,Promoter,Buy,61.49
LTIM,2022-03-19,Entity_294,FII,Sell,110.57
INDUSINDBK,2022-03-19,Entity_569,FII,Sell,1584.29
BIOCON,2022-03-20,Entity_835,DII,Sell,27.32
HDFCLIFE,2022-03-20,Entity_835,Promoter,Sell,408.72
BAJAJFINSV,2022-03-21,Entity_428,Promoter,Sell,2746.34
FEDERALBNK,2022-03-22,Entity_766,Promoter,Sell,63.53
BAJFINANCE,2022-03-22,Entity_851,KMP,Sell,1118.82
TECHM,2022-03-22,Entity_951,Promoter,Sell,240.17
TVSMOTOR,2022-03-23,Entity_866,KMP,Buy,214695.78
TECHM,2022-03-23,Entity_351,Promoter,Sell,12391.03
NTPC,2022-03-23,Entity_171,Promoter,Sell,1552.84
HEROMOTOCO,2022-03-24,Entity_609,Promoter,Buy,2048.18
AMBUJACEM,2022-03-24,Entity_270,Promoter,Sell,3305.79
BIOCON,2022-03-25,Entity_676,Promoter,Sell,2435.44
BRITANNIA,2022-03-26,Entity_488,FII,Sell,310.37
EICHERMOT,2022-03-26,Entity_353,Institutional,Sell,77750.37
PIDILITIND,2022-03-26,Entity_180,Director,Buy,28.13
BANDHANBNK,2022-03-27,Entity_674,DII,Buy,5614.46
COFORGE,2022-03-28,Entity_420,DII,Sell,416.92
LT,2022-03-28,Entity_350,Promoter,Sell,223.75
M&M,2022-03-28,Entity_300,Institutional,Sell,116.8
LUPIN,2022-03-29,Entity_462,Institutional,Buy,852.79
MPHASIS,2022-04-01,Entity_730,Director,Sell,3217.55
COFORGE,2022-04-02,Entity_117,KMP,Buy,5460.86
BIOCON,2022-04-02,Entity_945,Institutional,Sell,16.26
MARICO,2022-04-02,Entity_308,FII,Buy,5128.83
SUNPHARMA,2022-04-03,Entity_307,Promoter,Sell,560.62
ONGC,2022-04-03,Entity_753,Promoter,Sell,43.97
WIPRO,2022-04-03,Entity_314,Promoter,Buy,72.86
LT,2022-04-04,Entity_287,Institutional,Buy,63.68
FEDERALBNK,2022-04-04,Entity_313,Promoter,Sell,563.01
CIPLA,2022-04-04,Entity_275,Institutional,Buy,7364.39
TECHM,2022-04-05,Entity_509,Director,Sell,9.39
M&M,2022-04-05,Entity_612,Director,Sell,273.31
TVSMOTOR,2022-04-06,Entity_440,Director,Sell,280.02
AMBUJACEM,2022-04-06,Entity_263,DII,Sell,215.55
MARICO,2022-04-07,Entity_966,Director,Sell,1312.33
HDFCBANK,2022-04-08,Entity_889,Promoter,Sell,148.54
CHOLAFIN,2022-04-09,Entity_899,Promoter,Sell,604.51
DIVISLAB,2022-04-09,Entity_506,DII,Sell,51.89
TCS,2022-04-09,Entity_438,KMP,Buy,318.94
TATAPOWER,2022-04-10,Entity_144,Institutional,Sell,309.22
DABUR,2022-04-10,Entity_472,KMP,Buy,21037.86
ICICIBANK,2022-04-10,Entity_222,Director,Sell,278.39
LTIM,2022-04-11,Entity_850,Director,Sell,277718.03
BHEL,2022-04-11,Entity_685,Promoter,Sell,6184.24
COFORGE,2022-04-12,Entity_367,Promoter,Buy,30.03
SBILIFE,2022-04-12,Entity_717,Promoter,Buy,4818.45
ONGC,2022-04-12,Entity_335,Promoter,Sell,75.44
MPHASIS,2022-04-13,Entity_578,Director,Sell,275.55
COFORGE,2022-04-14,Entity_714,Promoter,Sell,47.66
SBILIFE,2022-04-14,Entity_489,Promoter,Sell,191.31
COFORGE,2022-04-15,Entity_456,Promoter,Buy,836.57
FEDERALBNK,2022-04-16,Entity_949,Promoter,Sell,6316.9
DRREDDY,2022-04-17,Entity_262,FII,Sell,920.53
ICICIBANK,2022-04-17,Entity_398,FII,Sell,4259.99
BAJFINANCE,2022-04-18,Entity_329,Director,Sell,28.27
ITC,2022-04-18,Entity_437,Promoter,Buy,1429.6
COALINDIA,2022-04-18,Entity_320,Institutional,Buy,1583.59
AMBUJACEM,2022-04-19,Entity_212,DII,Buy,341.73
BAJAJFINSV,2022-04-20,Entity_849,Promoter,Sell,1984.23
NTPC,2022-04-21,Entity_723,Director,Sell,1125.74
SUNPHARMA,2022-04-22,Entity_302,KMP,Sell,1180.75
TATAMOTORS,2022-04-22,Entity_844,KMP,Sell,16.07
PERSISTENT,2022-04-23,Entity_316,Institutional,Buy,736.46
MARICO,2022-04-24,Entity_219,Institutional,Sell,410.3
INFY,2022-04-24,Entity_366,KMP,Buy,7651.71
BHEL,2022-04-25,Entity_517,Director,Sell,24.52
M&M,2022-04-26,Entity_722,Director,Sell,28.9
MPHASIS,2022-04-27,Entity_824,Institutional,Buy,7990.89
BAJAJ-AUTO,2022-04-27,Entity_803,Director,Buy,8942.82
FEDERALBNK,2022-04-27,Entity_776,Promoter,Sell,1241.36
HDFCBANK,2022-04-28,Entity_892,Institutional,Sell,10.21
HCLTECH,2022-04-28,Entity_716,FII,Sell,2450.13
LTIM,2022-04-28,Entity_714,Promoter,Buy,662.26
BANDHANBNK,2022-05-01,Entity_898,FII,Buy,1.34
BHEL,2022-05-01,Entity_346,Director,Sell,1406.36
MARICO,2022-05-02,Entity_445,DII,Sell,777.08
INDUSINDBK,2022-05-02,Entity_540,Director,Sell,279.97
ASIANPAINT,2022-05-03,Entity_886,Promoter,Buy,420.34
CHOLAFIN,2022-05-03,Entity_476,KMP,Buy,533.77
FEDERALBNK,2022-05-03,Entity_933,FII,Buy,1501.74
FEDERALBNK,2022-05-04,Entity_857,FII,Sell,5370.08
HEROMOTOCO,2022-05-04,Entity_189,Promoter,Buy,40.43
HDFCBANK,2022-05-04,Entity_257,DII,Sell,1150.21
TATACONSUM,2022-05-05,Entity_760,Promoter,Buy,3017.32
PIDILITIND,2022-05-06,Entity_304,Director,Sell,329.75
WIPRO,2022-05-06,Entity_991,DII,Sell,4894.32
ADANIPORTS,2022-05-06,Entity_154,Director,Sell,9134.16
HEROMOTOCO,2022-05-07,Entity_700,Promoter,Sell,633.14
SBILIFE,2022-05-07,Entity_514,Promoter,Sell,967.89
HDFCBANK,2022-05-08,Entity_255,Promoter,Sell,8491.88
TATAPOWER,2022-05-09,Entity_132,Promoter,Sell,548.1
BRITANNIA,2022-05-09,Entity_660,Promoter,Sell,577.7
COFORGE,2022-05-09,Entity_141,Institutional,Sell,34.18
DRREDDY,2022-05-10,Entity_111,FII,Sell,423.62
ASIANPAINT,2022-05-10,Entity_743,Promoter,Sell,1148.48
HCLTECH,2022-05-10,Entity_243,Director,Sell,149.15
HEROMOTOCO,2022-05-11,Entity_368,Promoter,Buy,1561.68
ITC,2022-05-11,Entity_155,Director,Buy,184.29
ADANIGREEN,2022-05-11,Entity_399,Director,Buy,26013.75
BANDHANBNK,2022-05-12,Entity_839,FII,Buy,5.86
RELIANCE,2022-05-12,Entity_710,KMP,Sell,56.48
HDFCLIFE,2022-05-13,Entity_989,Director,Sell,1373.14
PIDILITIND,2022-05-13,Entity_837,FII,Sell,3065.62
ICICIBANK,2022-05-13,Entity_204,Director,Buy,387.16
LUPIN,2022-05-14,Entity_586,Director,Sell,2245.73
MARICO,2022-05-14,Entity_356,Promoter,Sell,739.11
TATACONSUM,2022-05-15,Entity_975,Director,Sell,503.75
NTPC,2022-05-15,Entity_964,Institutional,Buy,4614.97
WIPRO,2022-05-15,Entity_838,Promoter,Sell,419.9
INFY,2022-05-16,Entity_853,Promoter,Sell,45.78
NTPC,2022-05-16,Entity_949,Director,Sell,39.84
HINDUNILVR,2022-05-17,Entity_802,KMP,Sell,1.76
PIDILITIND,2022-05-17,Entity_605,Institutional,Buy,10235.16
BAJAJFINSV,2022-05-17,Entity_594,Promoter,Buy,1140.54
HEROMOTOCO,2022-05-18,Entity_265,Director,Sell,1243.29
AMBUJACEM,2022-05-19,Entity_281,Promoter,Sell,3502.44
WIPRO,2022-05-20,Entity_727,Institutional,Sell,183.93
HINDUNILVR,2022-05-21,Entity_343,Promoter,Sell,504.84
TVSMOTOR,2022-05-21,Entity_865,KMP,Buy,847.43
BIOCON,2022-05-22,Entity_757,Director,Buy,11.12
BAJAJ-AUTO,2022-05-22,Entity_261,FII,Buy,111.63
AMBUJACEM,2022-05-22,Entity_545,Promoter,Buy,2799.91
HCLTECH,2022-05-23,Entity_510,Promoter,Sell,461.45
M&M,2022-05-24,Entity_111,Promoter,Buy,220.49
NESTLEIND,2022-05-24,Entity_188,Promoter,Buy,183.93
BAJAJ-AUTO,2022-05-25,Entity_253,Promoter,Sell,478.47
MARICO,2022-05-25,Entity_491,KMP,Sell,914.57
MPHASIS,2022-05-26,Entity_305,Promoter,Buy,857.54
EICHERMOT,2022-05-26,Entity_304,Director,Sell,150.62
M&M,2022-05-26,Entity_202,Promoter,Buy,51647.2
NESTLEIND,2022-05-27,Entity_175,Promoter,Sell,1469.08
MARICO,2022-05-27,Entity_708,KMP,Sell,112.41
ONGC,2022-05-27,Entity_325,Promoter,Sell,4936.13
ASIANPAINT,2022-05-28,Entity_280,Director,Sell,2660.64
TATAPOWER,2022-05-28,Entity_710,Director,Buy,77.49
HCLTECH,2022-05-28,Entity_799,Promoter,Sell,1185.05
INFY,2022-05-29,Entity_194,Promoter,Sell,51.9
MARICO,2022-05-29,Entity_572,Promoter,Sell,2680.98
ASIANPAINT,2022-05-29,Entity_554,Promoter,Sell,250.96
ONGC,2022-06-01,Entity_801,KMP,Sell,791.65
ITC,2022-06-01,Entity_126,Promoter,Sell,30.45
COFORGE,2022-06-01,Entity_249,DII,Sell,1963.08
DIVISLAB,2022-06-02,Entity_272,FII,Sell,58.51
TATACONSUM,2022-06-03,Entity_151,Promoter,Sell,222.42
NTPC,2022-06-03,Entity_523,DII,Sell,15606.64
TATACONSUM,2022-06-04,Entity_514,Institutional,Sell,77.16
NTPC,2022-06-04,Entity_237,DII,Sell,4.33
DABUR,2022-06-05,Entity_573,Director,Sell,9464.01
HINDUNILVR,2022-06-06,Entity_455,KMP,Sell,1710.16
BRITANNIA,2022-06-07,Entity_721,DII,Sell,796.66
NTPC,2022-06-08,Entity_372,FII,Buy,977.77
LUPIN,2022-06-08,Entity_194,Promoter,Sell,224.29
MARUTI,2022-06-08,Entity_452,KMP,Sell,179.17
MPHASIS,2022-06-09,Entity_508,Promoter,Sell,1730.38
PERSISTENT,2022-06-09,Entity_885,Promoter,Sell,2486.59
TCS,2022-06-10,Entity_644,Promoter,Sell,333.52
TATAPOWER,2022-06-11,Entity_831,FII,Buy,135.25
M&M,2022-06-11,Entity_807,Director,Sell,4970.48
WIPRO,2022-06-11,Entity_664,FII,Sell,406.71
DABUR,2022-06-12,Entity_693,Director,Buy,23.69
SBIN,2022-06-12,Entity_372,Promoter,Sell,134.95
TCS,2022-06-12,Entity_181,Director,Sell,20217.91
ONGC,2022-06-13,Entity_975,Director,Buy,237.18
INDUSINDBK,2022-06-13,Entity_765,Director,Sell,97.06
ASIANPAINT,2022-06-13,Entity_109,Promoter,Buy,226.1
ASIANPAINT,2022-06-14,Entity_308,Promoter,Sell,12387.56
HCLTECH,2022-06-14,Entity_954,Institutional,Buy,35248.29
COFORGE,2022-06-15,Entity_597,Director,Sell,422.1
ASIANPAINT,2022-06-15,Entity_774,Promoter,Sell,197.32
LUPIN,2022-06-16,Entity_583,Promoter,Sell,7.33
BAJFINANCE,2022-06-17,Entity_215,FII,Sell,2624.36
CHOLAFIN,2022-06-17,Entity_401,Promoter,Sell,19080.77
PIDILITIND,2022-06-17,Entity_936,Promoter,Sell,159.34
INFY,2022-06-18,Entity_980,Director,Sell,53.4
TCS,2022-06-19,Entity_813,Promoter,Sell,3.54
KOTAKBANK,2022-06-19,Entity_548,Institutional,Buy,41.54
PIDILITIND,2022-06-19,Entity_985,FII,Sell,421.1
HINDUNILVR,2022-06-20,Entity_195,Director,Buy,1224.5
POWERGRID,2022-06-21,Entity_217,DII,Sell,1444.4
ITC,2022-06-22,Entity_344,Promoter,Sell,1878.18
RELIANCE,2022-06-22,Entity_303,Director,Buy,274.72
HDFCBANK,2022-06-23,Entity_762,Promoter,Buy,920.89
TATAPOWER,2022-06-24,Entity_229,Promoter,Buy,402.77
BAJAJ-AUTO,2022-06-25,Entity_648,Promoter,Sell,661.98
HEROMOTOCO,2022-06-26,Entity_542,Institutional,Sell,22278.8
EICHERMOT,2022-06-26,Entity_906,Director,Sell,30999.32
BAJFINANCE,2022-06-27,Entity_981,Promoter,Sell,2439.9
PIDILITIND,2022-06-27,Entity_304,DII,Sell,4249.87
TCS,2022-06-27,Entity_583,Promoter,Sell,69.09
RELIANCE,2022-06-28,Entity_554,FII,Sell,50.89
NTPC,2022-06-28,Entity_511,Director,Buy,1023.04
KOTAKBANK,2022-06-28,Entity_692,Promoter,Buy,6946.01
HDFCBANK,2022-07-01,Entity_336,Promoter,Sell,177.86
ULTRACEMCO,2022-07-02,Entity_711,Director,Sell,96.37
ICICIBANK,2022-07-02,Entity_545,Promoter,Sell,26.79
AMBUJACEM,2022-07-03,Entity_493,Promoter,Buy,1898.85
HDFCBANK,2022-07-03,Entity_453,KMP,Buy,216.89
DABUR,2022-07-03,Entity_327,Promoter,Sell,346.76
HINDUNILVR,2022-07-04,Entity_131,Promoter,Sell,845.01
ADANIGREEN,2022-07-04,Entity_510,Director,Sell,1035.7
HCLTECH,2022-07-04,Entity_400,FII,Sell,261.0
INDUSINDBK,2022-07-05,Entity_283,Promoter,Buy,25.76
LTIM,2022-07-06,Entity_394,Promoter,Sell,26082.84
DIVISLAB,2022-07-07,Entity_832,FII,Sell,191.88
MARUTI,2022-07-07,Entity_519,Promoter,Buy,672.51
BHEL,2022-07-07,Entity_545,Promoter,Buy,2736.46
ITC,2022-07-08,Entity_397,Director,Sell,445.53
BANDHANBNK,2022-07-09,Entity_112,DII,Sell,1246.74
COALINDIA,2022-07-09,Entity_864,KMP,Buy,85.84
COFORGE,2022-07-09,Entity_424,KMP,Buy,211.2
PERSISTENT,2022-07-10,Entity_486,Promoter,Sell,1050.89
TVSMOTOR,2022-07-10,Entity_155,Promoter,Sell,596.1
TATAMOTORS,2022-07-11,Entity_825,Promoter,Buy,464.34
ADANIPORTS,2022-07-11,Entity_416,DII,Sell,402.57
KOTAKBANK,2022-07-12,Entity_868,Institutional,Buy,6450.43
DABUR,2022-07-12,Entity_137,Director,Buy,45.43
BANDHANBNK,2022-07-13,Entity_350,KMP,Sell,33234.99
DIVISLAB,2022-07-13,Entity_663,Institutional,Buy,2933.96
ADANIGREEN,2022-07-13,Entity_641,Promoter,Buy,1501.85
RELIANCE,2022-07-14,Entity_455,Promoter,Sell,958.13
CIPLA,2022-07-15,Entity_643,DII,Buy,2745.66
HCLTECH,2022-07-16,Entity_891,Director,Sell,101.68
HINDUNILVR,2022-07-16,Entity_613,FII,Sell,378.15
NESTLEIND,2022-07-17,Entity_783,Promoter,Sell,11242.14
BIOCON,2022-07-17,Entity_401,Promoter,Sell,121.66
NESTLEIND,2022-07-18,Entity_121,FII,Sell,946.24
SHREECEM,2022-07-18,Entity_311,Director,Sell,340.27
NTPC,2022-07-18,Entity_278,Promoter,Sell,323.51
BAJAJ-AUTO,2022-07-19,Entity_470,Promoter,Sell,309.44
RELIANCE,2022-07-19,Entity_234,Institutional,Sell,538.32
COALINDIA,2022-07-19,Entity_511,DII,Sell,6298.76
TVSMOTOR,2022-07-20,Entity_824,DII,Sell,321.98
MARICO,2022-07-20,Entity_848,Director,Buy,2796.77
SBIN,2022-07-21,Entity_972,Director,Sell,130.7
M&M,2022-07-21,Entity_636,Promoter,Sell,768.8
MPHASIS,2022-07-21,Entity_823,Promoter,Sell,29.84
ADANIPORTS,2022-07-22,Entity_549,Director,Sell,24097.16
TECHM,2022-07-23,Entity_193,Director,Buy,51.75
ICICIBANK,2022-07-24,Entity_281,Director,Buy,10409.65
TCS,2022-07-24,Entity_628,Institutional,Buy,719.08
WIPRO,2022-07-24,Entity_460,Promoter,Buy,1688.57
KOTAKBANK,2022-07-25,Entity_712,Promoter,Buy,6007.18
ULTRACEMCO,2022-07-26,Entity_860,Promoter,Sell,411.58
MARICO,2022-07-27,Entity_394,FII,Sell,455.23
BRITANNIA,2022-07-27,Entity_884,Director,Sell,2.7
COFORGE,2022-07-27,Entity_684,Director,Sell,106.74
TVSMOTOR,2022-07-28,Entity_363,DII,Sell,8266.36
LT,2022-07-28,Entity_374,DII,Sell,6478.58
HDFCBANK,2022-07-29,Entity_115,Promoter,Buy,1240.64
SBILIFE,2022-08-01,Entity_796,DII,Sell,217.44
SUNPHARMA,2022-08-01,Entity_331,Promoter,Sell,3811.15
DIVISLAB,2022-08-01,Entity_171,Institutional,Sell,252.39
WIPRO,2022-08-02,Entity_306,Promoter,Sell,13.54
MARUTI,2022-08-02,Entity_589,Promoter,Buy,113.75
TATAPOWER,2022-08-02,Entity_707,Promoter,Sell,62.78
POWERGRID,2022-08-03,Entity_856,KMP,Sell,519.14
TECHM,2022-08-03,Entity_694,Promoter,Sell,27.98
LUPIN,2022-08-03,Entity_385,Director,Sell,3586.43
PERSISTENT,2022-08-04,Entity_621,Director,Sell,17624.36
TITAN,2022-08-04,Entity_581,Promoter,Buy,2610.01
TVSMOTOR,2022-08-04,Entity_152,DII,Sell,267.72
BAJAJFINSV,2022-08-05,Entity_146,Director,Buy,96.89
BANDHANBNK,2022-08-06,Entity_244,Institutional,Sell,2470.36
TITAN,2022-08-06,Entity_693,Director,Sell,2879.86
SBIN,2022-08-06,Entity_254,Promoter,Sell,85.98
SHREECEM,2022-08-07,Entity_628,FII,Sell,2624.66
SBILIFE,2022-08-08,Entity_574,Institutional,Sell,247.44
TECHM,2022-08-09,Entity_445,Director,Sell,5529.31
BIOCON,2022-08-09,Entity_457,Promoter,Sell,244.47
AXISBANK,2022-08-09,Entity_984,Promoter,Sell,4.35
NTPC,2022-08-10,Entity_761,DII,Sell,76672.07
LT,2022-08-11,Entity_311,KMP,Sell,35.03
HCLTECH,2022-08-11,Entity_607,Promoter,Sell,1.69
MPHASIS,2022-08-12,Entity_826,Promoter,Buy,8.13
ULTRACEMCO,2022-08-12,Entity_928,Director,Sell,664.82
HDFCLIFE,2022-08-12,Entity_125,Promoter,Sell,704.88
BANDHANBNK,2022-08-13,Entity_290,Promoter,Buy,143.35
BAJFINANCE,2022-08-13,Entity_715,Promoter,Sell,994.79
HDFCLIFE,2022-08-14,Entity_563,Promoter,Sell,2431.36
